"lakename","year4","daynum","sampledate","depth","tn_ug","tp_ug","nh34","no23","po4"
"East Long Lake",1995,205,1995-07-24,0,1041.733,28.385,106.453,253.18,1.285
"West Long Lake",1995,206,1995-07-25,0,845.591,20.624,99.547,150.325,0.502
"Peter Lake",1995,207,1995-07-26,0,688.018,21.664,12.064,16.348,2.018
"Paul Lake",1995,208,1995-07-27,0,325.446,10.728,10.387,0.631,1.656
"Central Long Lake",1995,209,1995-07-28,0,874.442,26.624,32.465,118.65,2.38
"East Long Lake",1995,212,1995-07-31,0,1138.167,36.684,168.904,282.433,2.728
"West Long Lake",1995,213,1995-08-01,0,741.087,18.731,118.14,146.386,2.503
"Peter Lake",1995,214,1995-08-02,0,688.511,23.225,5.748,5.642,2.427
"Paul Lake",1995,215,1995-08-03,0,419.592,10.973,13.018,0.923,1.321
"Central Long Lake",1995,216,1995-08-04,0,868.624,37.27,42.464,139.252,0.774
"Tuesday Lake",1995,216,1995-08-04,0,284.274,7.071,12.578,1.773,0.144
"East Long Lake",1995,219,1995-08-07,0,1044.002,34.133,178.219,313.171,4.601
"West Long Lake",1995,220,1995-08-08,0,692.521,16.522,69.486,121.227,0.509
"Peter Lake",1995,221,1995-08-09,0,686.848,24.684,8.216,7.193,2.046
"Paul Lake",1995,222,1995-08-10,0,431.447,10.538,10.487,1.257,1.263
"Central Long Lake",1995,223,1995-08-11,0,787.525,23.997,33.906,138.832,1.815
"East Long Lake",1995,226,1995-08-14,0,1126.703,28.921,187.61,336.995,4.744
"West Long Lake",1995,227,1995-08-15,0,762.382,16.605,93.283,136.443,0.864
"Peter Lake",1995,228,1995-08-16,0,754.679,22.252,3.019,4.349,2.6
"Paul Lake",1995,229,1995-08-17,0,331.686,8.368,3.664,2.458,1.69
"Central Long Lake",1995,230,1995-08-18,0,806.39,22.613,46.992,145.419,3.07
"Tuesday Lake",1995,230,1995-08-18,0,366.53,8.69,13.253,1.251,0.979
"East Long Lake",1995,233,1995-08-21,0,1287.391,32.482,210.179,387.62,3.194
"West Long Lake",1995,234,1995-08-22,0,732.909,12.522,100.182,136.253,1.18
"Peter Lake",1995,235,1995-08-23,0,692.486,21.661,17.985,3.75,2.381
"Paul Lake",1995,236,1995-08-24,0,381.551,9.231,7.465,2.005,2.126
"Central Long Lake",1995,237,1995-08-25,0,915.738,26.249,62.841,114.918,2.323
"Paul Lake",1996,148,1996-05-27,0,244.87,13.689,6.768,2.193,5.723
"Peter Lake",1996,149,1996-05-28,0,312.133,15.573,17.509,37.764,10.493
"West Long Lake",1996,150,1996-05-29,0,494.511,19.222,9.353,140.504,9.004
"East Long Lake",1996,151,1996-05-30,0,628.811,29.426,7.268,92.889,10.13
"Tuesday Lake",1996,152,1996-05-31,0,378.652,12.798,17.097,3.702,6.324
"Paul Lake",1996,176,1996-06-24,0,391.882,7.583,7.141,7.825,3.468
